,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
    Information & Communications,9.4,8.7,8.2,9,9.5,8.3,10.2,9.7,10.6,9.8,9,10.1,10.6,10.5,9.2,10,na,7.5,9.4,8.6,8.5,10.2,7.7,na,na,na,na,6.5,na,na,na,na,5.2
    Financial & Insurance Services,23.3,24.5,23,28.9,28.5,27.4,28.5,27.5,26.9,29.2,30.7,26.2,26.8,22.6,24.5,24.5,na,25.7,23.3,23.8,25.7,23.9,25.9,25.9,29.3,36,28.8,28.9,29.2,27.9,27.3,30.1,26.8
    Real Estate Services,5.4,6,4.7,4.5,5.7,7.1,6.7,7,7.8,6.7,8.2,6.3,5.4,6.2,5.6,5.9,na,5.6,6.2,6.5,5.9,6.7,6.2,na,na,na,na,7.4,na,na,na,na,5.7
    Professional Services,18,19.7,17.5,20.5,21.6,23.2,20.1,23.9,21.9,23.2,21.6,20.4,18.4,15.5,18.4,16.9,na,16.1,14.8,15.1,14.7,13.7,14.9,na,na,na,na,17.3,na,na,na,na,13.2
    Administrative & Support Services,10.7,10.7,12.6,13.2,11.2,11.7,11.5,13.6,12,13.4,12.5,12.5,13.9,14.1,12.8,13.1,na,9.4,6.7,5.5,6.6,5.3,7.8,na,na,na,na,7.2,na,na,na,na,7
    Public Administration & Education Services,17.7,18.1,16.9,19.6,19.1,19.3,20,24,23.4,24.2,21,24.2,23,22.1,20,19,na,17.8,19.5,19.9,19,17.6,15,19.2,20.5,18.9,16.4,14.5,16.4,17,16.4,16.6,12.1
    Health & Social Services,19,18.5,16.8,16.2,14.7,16.5,14.8,16.9,19.6,18.5,18.3,17.6,14.6,15.6,14.3,14.4,na,11.9,12.3,12.1,11.2,11.2,8.8,9.4,7.4,8.1,9.2,6.4,7.7,7.5,6.8,7.4,4.7
"    Arts, Entertainment & Recreation",4.8,4.1,3.6,5.1,4.9,4.2,5.3,5.6,5.8,5.7,6.1,5,4.3,3.4,2.5,3.3,na,3.2,2.9,2.7,3.2,3,2.7,na,na,na,na,3.3,na,na,na,na,2.5
"    Other Community, Social & Personal Services",8.2,10.3,8.3,8.4,7.7,8.8,8.4,9.4,8.4,8.9,7.2,6.8,7.1,7.7,6.8,6.2,na,5.4,5.9,5.7,6,5,4.7,10.7,11.5,10.8,8.8,6.6,8.3,7.8,8.2,7.6,4
  Other Industries Nes,1.6,1.9,1.8,2.7,1.7,2.1,1.9,2.2,2.8,3.6,3.3,2.5,4.7,2.2,2.2,2.1,na,1.6,1.8,2.8,1.9,2.9,1.4,1.8,1.5,1.9,1.4,0.8,1.9,1.8,1.2,1.6,1.5
Service & Sales Workers,241.2,239.2,252.3,257.7,262.7,248,262.4,251.6,244.3,244.7,252.5,234.8,234.5,218.9,219.3,225.4,na,244.4,203.5,196.8,198.8,200.7,184.7,213.3,202,200.4,202.5,180.4,206.5,202.3,203.6,205.1,185.5
  Manufacturing,7.3,8.3,6.9,6.5,5.6,6.2,5.6,4.7,5,5.2,7.3,4.3,4.2,2.8,4.5,3.8,na,6.2,4.3,2.9,3.2,3.5,5.7,4.2,4.5,3.9,3.2,5.5,3.8,4,3.6,4.8,8
  Construction,1.1,1.7,1.5,1.1,1.3,1,1,0.7,1,0.6,0.7,0.8,0.4,0.6,0.4,0.3,na,0.7,0.5,0.5,0.3,0.3,0.6,0.4,0.7,0.3,0.5,0.4,0.1,0.2,0.1,0.1,0.7
  Services,232,228.3,243.4,249.5,255.6,240.4,255.4,245.7,237.8,238.4,243.9,229.7,229.5,215.3,213.9,221,na,236.8,198.4,193.1,195,196.5,177.8,208.6,196.6,195.9,198.6,174.1,202.4,197.7,199.6,199.8,176
    Wholesale & Retail Trade,59.4,56.7,64.9,77.6,82.7,75.1,85,82.1,87.8,91.6,90.2,92.8,92.4,86,87.6,89.5,na,86.7,88.5,85.5,84.7,84,69.9,79.6,77.6,88.3,78.9,76.1,79.7,81.7,82.4,81.5,77.5
    Transportation & Storage,8,9.1,11.3,11.8,10.8,11.2,11.5,9.4,13.5,13.7,12.4,11.8,10.8,10.6,9.7,10.7,na,11.6,10.4,10.4,11.3,11.8,10.8,14.9,13.3,15,12.3,11.8,12.7,12,12.2,12,9.7
    Accommodation & Food Services,58,57.8,57.3,55.4,56.5,57.2,59.6,56.9,50,49.3,49.6,48,45,50.6,48.3,52.4,na,67.7,45,45.4,48.1,48.3,45.7,69.3,66.3,55.8,68.8,43.6,70.4,66.7,68.8,67,44
    Information & Communications,2.2,2.2,1.6,2.1,1.6,1.8,1.9,2.1,1.5,2,2.3,1.1,1.8,1.1,1.4,1.2,na,1.2,1.8,1.6,1.7,2.5,0.8,na,na,na,na,0.9,na,na,na,na,1.1
    Financial & Insurance Services,5,4.4,5.6,5,5.3,2.9,3.4,2.2,1.7,1.1,1.8,1.2,0.8,0.8,0.7,0.5,na,1.6,0.6,1,0.6,0.8,0.9,1.1,0.7,0.7,0.7,0.4,0.6,0.4,0.5,0.7,1
    Real Estate Services,3.2,2,1.9,2.2,1.7,2.5,2.1,1.8,1.4,1,1.5,0.9,0.9,1.2,1.2,0.6,na,2.4,1.6,1.1,1.6,1.2,1.7,na,na,na,na,1.1,na,na,na,na,3.2
    Professional Services,3.1,3,3,3.5,3.2,2.7,3,3,1.3,1.5,1.1,1,0.9,0.6,0.9,0.8,na,1.5,0.6,0.3,0.3,0.2,0.9,na,na,na,na,1,na,na,na,na,1.3
    Administrative & Support Services,29.7,27.4,28.8,30.2,29.6,25.8,27,25.8,24.6,22.4,21.7,21.7,21.9,21.7,21.8,23.1,na,20.8,14.1,13.7,12.6,11.7,12.6,na,na,na,na,9.6,na,na,na,na,9.6
    Public Administration & Education Services,18.1,20,20.2,18.1,18.5,18.3,18.3,19.4,17.2,17.7,21,15.3,18.2,13.3,14.1,15.1,na,19.5,12.8,13.6,12.3,13.8,16.7,10.8,10.2,11.4,11,12.6,9.7,11.2,10.7,12.6,14.9
    Health & Social Services,19.3,20.6,22,17.1,14.7,16.1,13.5,13.2,10.1,7.8,7.7,7,6.5,4.8,4.1,4.3,na,3.7,3.8,3,3.4,3.4,3.2,3,2.6,1.6,2,4,2.2,2,1.6,2,1.6
"    Arts, Entertainment & Recreation",7.9,8.2,9.3,9.5,11.5,9.6,11.9,12.1,9.8,10.9,12.9,10.2,10.1,4.6,4.5,5.2,na,5,3.2,3.8,3.5,3.3,4.8,na,na,na,na,3.5,na,na,na,na,3.2
"    Other Community, Social & Personal Services",18.2,16.9,17.4,17,19.4,17.2,18.2,17.7,18.8,19.5,21.8,18.8,20,20,19.6,17.6,na,15.1,16,13.7,14.9,15.5,10,17.1,15.7,16.1,15.9,9.6,18.9,15.5,15.9,15.1,9
  Other Industries Nes,0.7,0.9,0.5,0.6,0.2,0.3,0.4,0.4,0.5,0.4,0.5,-,0.5,0.2,0.5,0.3,na,0.7,0.4,0.3,0.3,0.3,0.6,0.2,0.3,0.4,0.2,0.4,0.2,0.3,0.3,0.3,0.7
Craftsmen & Related Trades Workers,53.3,57.9,62.5,67.8,70,76,79.2,83.9,82.2,82.2,90.6,89.5,86.5,88.8,90.8,95.6,na,111,97.2,98,105.1,102.5,107.3,116,119.5,112.6,125.5,117.2,148.1,148.6,154.2,176.1,135.1
  Manufacturing,15.6,16.3,18.2,19.4,21.9,23.4,23.5,26,25,26.2,29.6,33.3,29,32.1,34.1,35.9,na,39.7,37.2,40.9,41.5,41.3,39.9,48.1,48.9,47.7,55.6,52.3,69.4,70.7,74.1,87.9,67.3
  Construction,14,14,16.1,16.7,18.6,18.9,21.3,24.1,22.7,25.5,27.1,26.7,26.2,29.8,29.8,31.4,na,31.4,32.3,30.1,33.5,33.1,34.3,38.4,39.9,36.9,41.7,31.9,47.6,43.9,42.9,49.5,31.2
  Services,23.2,26.3,26.8,31,28.4,32.4,33.2,32.7,33,29.2,31.9,27.6,28.5,25.6,25.5,26.6,na,37.8,26.1,25.6,28.2,25.7,31.6,27.8,29.1,25.6,26.9,31.8,29,32.1,34.7,36.5,33.8
    Wholesale & Retail Trade,8.4,9.7,9.6,10.8,7.5,9.6,10.5,10.6,9.6,5.7,6.9,5.3,6,5.2,4.6,4.4,na,10.5,6.3,4.5,6.7,4.6,8.1,4.7,5,4.1,5.8,6.1,5.8,6.3,7.5,7.5,10.6
    Transportation & Storage,1.4,1.6,2.7,2.3,2.4,3.1,3.1,3.7,2.9,2.7,3,2.9,3,3.6,2.8,3,na,4.8,2.3,3.4,3.1,3.7,3.9,4.3,5.8,5.8,4.3,4.7,5.2,6.1,5.7,8,4.9
    Accommodation & Food Services,1.1,1.2,1,1.6,2.2,2.1,1.6,2,2.4,1.5,1.3,1.1,1.4,1.3,1.6,1.6,na,1.6,1.5,0.8,1.2,1,1.5,0.9,1.3,0.7,1.2,1.2,1.3,1.3,1.4,1.2,1.7
    Information & Communications,1,1,0.7,1,0.6,1.1,1.1,1.1,1.5,1.2,0.8,1.1,1.4,1.2,1,1.4,na,2,1,1.3,1.5,1.3,1.2,na,na,na,na,1.7,na,na,na,na,1.9
    Financial & Insurance Services,1.3,0.9,1.4,1.7,1.2,1.2,1.5,0.9,0.6,0.4,0.4,0.1,0.1,0.2,-,0.1,na,0.2,-,0.1,0.3,0.3,0.2,0.2,0.1,0.1,0.1,-,0.1,0.1,0.2,0.3,0.2
    Real Estate Services,1.3,0.4,1.3,1.2,1.6,1.8,2.1,1.6,1.8,1.1,1.6,1.5,0.5,1.3,1.3,1.2,na,2.6,1.7,1.2,1.3,1.6,1.8,na,na,na,na,2.5,na,na,na,na,2.6
    Professional Services,1.4,2.6,2.6,4,3,2.8,3.8,2.9,2.7,2.4,2.7,2,2,1.5,1.4,1.3,na,2.8,1.1,0.7,0.5,0.6,2.5,na,na,na,na,3.4,na,na,na,na,1.5
    Administrative & Support Services,2.5,2.8,3.3,2.5,2.9,2.5,3,2.5,3.9,3.5,4.3,3.2,4.3,1.9,1.9,2.6,na,1.3,1.8,1.8,1.5,1.4,1.2,na,na,na,na,0.7,na,na,na,na,0.7
    Public Administration & Education Services,0.9,0.9,0.6,1.2,0.9,0.7,0.4,0.7,0.6,0.5,0.7,0.3,0.9,0.4,0.4,0.7,na,1.2,0.6,0.6,0.9,0.7,1,0.9,1.3,0.7,1.1,1.4,1.5,1.4,2,2.8,0.8
    Health & Social Services,0.1,0.5,0.2,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,na,0.4,0.2,0.4,0.3,0.3,0.3,0.3,0.1,0.4,0.3,0.2,0.6,0.6,0.8,0.7,0.3
"    Arts, Entertainment & Recreation",0.2,0.1,0.8,0.3,0.3,0.6,0.8,0.4,0.7,0.8,0.7,0.5,0.2,0.4,0.6,0.4,na,0.7,0.5,0.2,0.3,0.3,0.6,na,na,na,na,0.4,na,na,na,na,0.4
"    Other Community, Social & Personal Services",3.5,4.5,2.8,4.1,5.5,6.8,5.2,6,6.3,9.3,9.3,9.2,8.5,8.6,9.6,9.6,na,9.7,9.2,10.6,10.5,10,9.3,12.3,12,10.6,11.3,9.5,11.8,13.7,14.7,12,8
  Other Industries Nes,0.6,1.3,1.4,0.7,1.1,1.2,1.1,1.2,1.5,1.4,1.9,1.8,3,1.3,1.4,1.7,na,2.1,1.6,1.5,1.8,2.4,1.6,1.6,1.6,2.5,1.2,1.2,2.2,1.9,2.6,2.2,2.8
Plant & Machine Operators & Assemblers,135.7,137,151.7,151.4,147.9,151.5,151.1,146.1,145.9,146.9,148.7,157.5,152.7,158.4,157.4,164,na,169.7,164.2,166.7,171.2,173.6,175.7,185.1,182.3,202.8,204.5,190.3,214.7,223,223.2,229.1,221.3
  Manufacturing,14.5,15.6,16.4,17.3,22.1,21.4,22.9,27.2,32.5,35.3,38.1,44.9,41.2,46.9,51,53.2,na,59.8,65.4,70.9,70.2,73.2,74.3,93.3,93.8,111.1,113.3,93.8,127.5,135.9,140.4,146.8,133.6
  Construction,5.8,4.9,4.9,7,7.5,7.6,7.7,8,8,8.4,7.1,8.1,7.7,9.6,7.3,7,na,5,5.6,5.7,7.1,6.4,5.8,7,6.9,7.7,5.3,6.2,5.8,5.4,5.2,5.1,4.3
  Services,114.1,115.2,128.7,125.7,117.1,121.3,118.9,109.3,103.9,101.3,101.3,102.6,100.3,100.5,97,102.3,na,102.1,90.8,87.9,92.4,92,94.4,83.7,80.8,82.5,85.4,88.8,80.7,80.9,76.4,76.1,81.7
    Wholesale & Retail Trade,15.2,16,13.6,17.2,16.7,17.3,19.2,18.3,16.4,12.9,13.7,12.7,13.3,14,12.7,15.6,na,19.2,14.5,12.8,15.9,15.9,18.2,14,11.4,12.8,14.7,13.7,14.4,14.5,14.4,15.6,16.4
    Transportation & Storage,84.2,84.8,99.5,91.2,82.9,87.8,78.9,74.2,73,73.1,73.5,76.6,71.5,73.7,73.1,73.9,na,69.3,66.2,65.6,66.8,67,63.3,60.4,60.6,62.6,61.6,55,58.4,58.6,53.9,51.8,52
    Accommodation & Food Services,2.3,2.2,1.8,2,2.5,2.4,2.4,2.4,1.9,2.8,2.4,2.5,3.1,2.7,2.1,2.9,na,1.7,2.1,1.4,1.4,1.4,1.6,1,1,0.7,0.8,0.9,0.5,0.7,0.6,0.5,0.9
    Information & Communications,1.3,1,1.1,0.7,0.6,0.6,1.4,0.4,0.9,0.5,0.8,0.3,1,0.6,0.6,0.6,na,0.8,0.6,0.6,0.6,0.7,1.2,na,na,na,na,2.6,na,na,na,na,0.5
    Financial & Insurance Services,2,2.6,2.6,3.7,2.6,2.1,2.6,2.1,1.2,1,0.6,0.8,0.7,0.7,0.5,0.4,na,0.4,0.5,0.4,0.8,0.7,0.9,0.8,0.8,0.6,1.1,0.7,0.8,0.8,0.7,0.8,1
    Real Estate Services,0.5,0.5,0.4,0.3,0.4,0.5,0.7,0.8,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.3,na,0.3,0.2,0.4,0.3,0.3,0.4,na,na,na,na,0.7,na,na,na,na,1.4
    Professional Services,2.3,1.8,2.1,2.1,3.3,2.5,2.9,2.7,2,2.3,2.6,1.6,2.3,1.5,1.3,1.2,na,2.5,0.7,0.4,0.6,0.6,2,na,na,na,na,1.7,na,na,na,na,1.5
    Administrative & Support Services,2.7,2.4,3.2,2.6,2.9,3.6,4.6,3.7,2.7,3,3.2,2.8,2.9,2.3,2.4,2.9,na,3.2,1.9,1.8,2.2,2.1,3.1,na,na,na,na,2.6,na,na,na,na,1.4
    Public Administration & Education Services,0.8,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.3,0.8,0.6,0.1,0.4,na,0.5,0.4,0.6,0.5,0.4,0.9,1.7,2.1,1,2,1.9,1.6,1.7,1.9,2.1,1.9
    Health & Social Services,1,1.2,1.5,1.5,1.3,1.2,1.3,1.2,1.4,1.1,0.8,1,0.8,0.9,0.5,0.4,na,0.7,0.8,0.6,0.7,0.4,0.6,0.4,0.4,1.1,0.9,0.4,1.3,1.5,1.2,1.2,0.6
"    Arts, Entertainment & Recreation",0.2,0.3,0.2,0.3,0.2,0.4,0.6,0.4,0.6,0.3,0.5,0.3,0.4,0.4,0.3,0.2,na,0.2,0.3,0.2,0.3,0.1,0.4,na,na,na,na,0.3,na,na,na,na,0.3
"    Other Community, Social & Personal Services",1.7,2,2.2,3.5,3.2,2.4,3.8,2.7,2.9,3.4,2.4,3.6,3.2,2.9,3.3,3.6,na,3.1,2.6,3,2.4,2.4,1.9,2.2,2.3,1.9,2.2,8.3,2.4,2.2,2.3,2.5,3.7
  Other Industries Nes,1.3,1.3,1.8,1.4,1.2,1.1,1.6,1.7,1.4,1.9,2.2,1.9,3.5,1.4,2.1,1.5,na,2.8,2.4,2.2,1.4,1.9,1.2,1.2,0.9,1.5,0.5,1.6,0.8,0.8,1.2,1.1,1.7
"Cleaners, Labourers & Related Workers",158.4,151.5,149.5,149.4,156.4,160.5,160.7,160.3,166,150.2,145.3,145.7,145.5,141,138.5,143.6,na,99.2,123.9,123.8,114.8,114.4,103.8,87.1,87.8,93.3,86.6,121.2,85.3,88.3,91.3,95.4,140
  Manufacturing,11.1,10,11.3,8.1,9.5,9.2,9.8,9.8,10.9,10.2,9.2,9.9,9.8,10.4,9.5,10.6,na,9,10.2,9,9.8,10.3,10.6,11.1,11.2,13.6,10,15.5,11.5,10.4,11.9,13,21.5
  Construction,4.7,4.3,4.9,5.9,6.1,6.2,6.1,6.6,7.7,7.2,6.4,5.3,5.6,7.9,7.9,8.3,na,5.4,7.3,10.1,6.7,8.4,7.3,9.5,13.7,18.5,9.8,17,7.5,10.1,10.3,9.6,18.9
  Services,140.3,134.3,131.4,133.4,137.8,142.2,142.1,140.5,143.7,129.6,127,128.2,127.2,120.3,118.5,122.1,na,81.9,103.1,102,94.8,93.2,84.2,64.9,61.5,60.7,65.3,85.3,64.4,65.9,67.7,71.1,94.6
    Wholesale & Retail Trade,17.1,14.8,13.3,13.8,15.8,15.2,15,15.9,16.4,12,11.8,11.9,11.5,11.4,10.8,11.7,na,8.9,8.5,7.4,8.4,7.7,7.4,6.7,6.6,6.8,6.2,7.4,6.9,7,7.1,6.4,8.8
    Transportation & Storage,17.8,14.2,12.4,11.3,12.2,10.9,10.4,11.8,9.8,10.8,12.7,11.1,12.4,10.4,11.7,13.5,na,11.6,11.3,10.2,10,10.6,10.2,10.1,9.8,9.9,11.7,12.9,11.8,13.5,12.7,13.7,15.7
    Accommodation & Food Services,31.6,31.4,33.9,41.5,38.6,40.3,44,46.5,50,49.6,43.3,47.9,47.1,46.5,45.6,46,na,13.9,41.6,43.4,36.5,36.7,23.8,10.2,11.2,11.8,10.3,27.7,10.5,9.9,10.5,10.5,29.9
    Information & Communications,2,1.6,1.3,1.1,0.8,0.8,1,1.1,1.2,1.1,0.9,0.6,1,0.7,0.8,0.6,na,0.4,0.8,0.5,0.3,0.7,0.5,na,na,na,na,1.2,na,na,na,na,0.6
    Financial & Insurance Services,3.3,2.6,3.4,2.4,3.2,3,3.5,1.8,1.6,0.8,0.9,0.6,0.9,1,0.8,0.5,na,0.5,0.6,0.7,1.1,1,1,1.4,1,0.8,1.4,1.1,1.3,1.2,1.1,1.7,1.9
    Real Estate Services,6.4,4.5,3,3.5,5.8,7.1,7.9,7.7,6.5,3.5,2.6,1.5,1.6,3.8,2.4,3.7,na,1.3,2.4,2.4,2.7,1.9,3.4,na,na,na,na,11.8,na,na,na,na,14.3
    Professional Services,3.5,3.5,3.4,2.5,2.5,2.9,2.8,2.3,2.5,1.7,1.7,2.1,1.6,1.3,1,1.1,na,1.4,0.7,0.6,0.9,0.8,1.2,na,na,na,na,2.6,na,na,na,na,1.3
    Administrative & Support Services,35.7,37.7,37.6,34.5,37.9,39.2,34.2,31.2,31.1,30.1,33.3,32,31.2,25.6,26,26.5,na,23.1,22,20.8,19,17.8,15.3,na,na,na,na,3.2,na,na,na,na,2.6
    Public Administration & Education Services,5,6,5.9,6.9,5.2,5.8,6.9,5.4,6,5.3,6.2,5.4,6.3,5.6,5.1,5.4,na,5.9,4.6,5.6,5.5,5.6,6,5.6,4.7,4.4,5.1,4.4,4.4,5,4.8,5.1,5.8
    Health & Social Services,8.4,8.6,9,9.4,8.5,8.9,8.9,8.5,6.6,4.8,4,4.2,3.9,5.4,4.1,4.1,na,4.3,4.5,4,3.9,3.9,4.6,3.5,4.4,6,7,4.7,7.5,6.8,7.7,9.1,5.1
"    Arts, Entertainment & Recreation",2.1,1.9,1.5,1.4,2.5,2.4,2.9,2.5,3,2.8,3.2,2.9,2.4,2,2.2,2.2,na,2.4,1.9,2,2.6,1.8,3.2,na,na,na,na,2,na,na,na,na,1.9
"    Other Community, Social & Personal Services",7.6,7.7,6.8,5,4.8,5.6,4.5,5.9,9.1,7,6.5,8,7.3,6.7,8.1,6.9,na,8.2,4,4.3,4,4.6,7.8,10.2,9,9,8.1,6.4,8.5,8.5,8.5,10.2,6.6
  Other Industries Nes,2.3,2.8,1.9,2,3,3,2.8,3.5,3.7,3.1,2.7,2.2,2.9,2.4,2.7,2.5,na,2.9,3.3,2.7,3.5,2.6,1.6,1.5,1.4,0.5,1.5,3.3,1.8,2,1.4,1.8,5
Other Occupation Groups Nes,55.8,56.5,60.4,64.8,69.8,68.9,71.6,70,70.8,68.7,68.6,69.6,68.7,63.5,63.4,63.1,na,55.9,71.1,69.8,61.9,64.9,53.9,56,53.7,53.7,54.1,70.9,61.2,60.2,64.4,63.3,65.3
  Manufacturing,na,0.1,0.1,-,0.1,0.1,0.1,-,-,-,0.1,-,-,-,-,-,na,0.1,-,-,-,0.1,-,0.1,-,0.2,-,-,-,-,-,0.1,na
  Construction,0.3,0.1,0.1,0.1,0.2,0.2,0.2,-,-,-,-,-,0.1,-,-,-,na,-,-,-,-,0.1,-,-,-,0.1,0.1,-,-,-,0.1,0.2,na
  Services,55.1,55.6,59.9,63.7,68.4,68.1,70.8,69.5,69.6,68.2,67.6,69.1,67.6,62.4,62.9,62.2,na,53.4,70.2,68.7,60.9,63.5,53.1,54.5,52.5,51.6,52.8,59.2,58.9,58.5,61.6,61.2,62.1
    Wholesale & Retail Trade,0.2,0.5,0.3,0.4,0.3,0.3,0.4,0.1,0.1,0.1,0.2,0.1,0.5,-,0.1,0.1,na,0.2,-,0.1,0.1,0.1,0.2,0.2,-,0.1,-,-,0.1,-,-,0.1,0.2
    Transportation & Storage,na,na,na,na,na,na,na,na,na,na,na,0.1,0.1,-,-,-,na,-,-,-,-,-,-,-,-,0.2,na,na,na,na,na,na,na
    Accommodation & Food Services,na,0.1,0.1,0.1,-,0.1,-,-,-,-,-,-,-,-,-,-,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,na,0.1,0.1,-,0.1,-,-,-,0.2,-,-,-,-,-,-,-,na,-,-,-,-,-,-,na,na,na,na,-,na,na,na,na,na
    Financial & Insurance Services,0.1,0.1,-,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Real Estate Services,0.1,0.1,0.1,-,-,0.1,-,-,-,-,-,-,-,-,-,-,na,-,-,-,-,-,-,na,na,na,na,-,na,na,na,na,na
    Professional Services,0.1,0.1,-,0.1,-,-,0.1,-,-,-,-,-,-,-,-,-,na,-,-,-,-,-,-,na,na,na,na,-,na,na,na,na,na
    Administrative & Support Services,1.5,1.6,1.7,1.1,1.6,1.1,0.8,1.1,-,-,-,-,-,-,-,-,na,-,-,-,-,-,-,na,na,na,na,-,na,na,na,na,na
    Public Administration & Education Services,52.8,53.2,57.7,61.7,66.1,65.9,69.1,67.9,69.1,67.8,67.2,68.7,66.8,62,62.4,61.9,na,53,69.9,68.3,60.4,63,52.7,53.9,52.3,50.5,52.5,59,58.4,58,61.4,60.2,61.5
    Health & Social Services,0.1,-,-,0.1,0.2,0.3,0.1,-,-,-,-,-,-,-,-,-,na,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,0.1,na
"    Arts, Entertainment & Recreation",0.1,-,0.1,0.3,-,0.2,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.1,na,0.1,-,0.1,0.3,0.2,0.1,na,na,na,na,-,na,na,na,na,0.2
"    Other Community, Social & Personal Services",0.2,0.1,-,-,0.1,0.2,0.1,-,-,0.1,-,-,-,-,0.1,0.1,na,0.1,0.1,0.1,0.1,-,0.1,0.2,0.2,0.5,0.2,0.1,0.4,0.5,0.1,0.7,0.1
  Other Industries Nes,0.5,0.8,0.3,0.9,1.2,0.6,0.5,0.5,1.2,0.4,0.9,0.5,0.9,1,0.6,0.8,na,2.4,1,1.1,1,1.2,0.8,1.4,1.2,1.9,1.3,11.7,2.3,1.7,2.7,1.8,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residents comprise Singapore citizens and permanent residents.  Based on mid-year Labour Force Survey except for Census of Population 1990 & 2000 and General Household Surveys 1995 & 2005.  To facilitate comparison with 2008, 2007 Labour Force Survey data have been adjusted based on Singapore Department of Statistics revised population estimates (released in February 2008) which exclude Singapore residents who have been away from Singapore for a continuous period of 12 months or longer.  Data from year 2020 are classified based on Singapore Standard Industrial Classification (SSIC) 2020 and Singapore Standard Occupational Classification (SSOC) 2020.  Data from 2000 onwards which were coded based on earlier versions of the SSIC and SSOC were mapped to SSIC 2020 and SSOC 2020 respectively as far as possible to facilitate data comparability.  Occupational data are not available for 2006 as the level of occupational detail collected in 2006 did not support mapping.  The level of occupational detail collected in 1990 - 1999 did not support mapping to the latest SSOC 2020 and hence are not strictly comparable to data that were mapped to/coded using SSOC 2020.  Data across the various years may not be strictly comparable due to revisions in the industrial classification.  1991-1994 & 1996-1997 data are based on SSIC 1990.  1998-1999 data are based on SSIC 1996. 1990 and 1995 data are based on SSIC 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Occupation Groups, (Total Employed Residents) -> Services -> Wholesale & Retail Trade (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Occupation Groups, (Total Employed Residents) -> Services -> Transportation & Storage (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Occupation Groups, (Total Employed Residents) -> Services -> Financial & Insurance Services (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Occupation Groups, (Total Employed Residents) -> Other Industries Nes (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors) -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors) -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
